filename,dataset,path
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.out
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@13.out
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out
034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.out
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.out
03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@8.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@8.out
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.out
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.out
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.out
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.out
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.out
056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.out
061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.out
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.out
066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.out
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.out
074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.out
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.out
07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@10.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@10.out
08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@8.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@8.out
090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985.out
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.out
094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out
09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@13.out
09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@2.out
100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260.out
101-freeway-traffic.test.out,Dodgers,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Dodgers\101-freeway-traffic.test.out
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.out
