filename,dataset,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,KDD21,0.010242434,0.045439086,0.043083185,0.07689623,0.007532644,0.056132287,0.805752023,0.007938115,0.109223714,0.009293515,0.036736862,0.043673081
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt,KDD21,0.184015515,0.006140688,0.51785028,0.998747831,0.018773579,0.021342659,0.010692053,0.033346144,0.185687198,0.377493558,0.012495559,0.184762369
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@13.out,GHL,0.016196094,0.001991435,0.010757326,0.008351291,0.017258315,0.026559839,0.057263974,0.01982794,0.004495025,0.000830222,0.0003625,0.002309242
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,KDD21,0.004301852,0.067939316,0.040594699,0.779895266,0.002524932,0.001818254,0.005758879,0.021769759,0.000939452,0.25781837,0.655070124,0.001091941
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,KDD21,0.614306456,0.52489271,0.725855326,0.899178264,0.026253723,0.015555384,0.243298775,0.014345864,0.245504844,0.663179709,0.104202034,0.073462064
034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,KDD21,0.818413457,0.020900189,0.516281156,0.461844955,0.064242569,0.714258884,0.205765663,0.785316086,0.132473221,0.334239992,0.015866214,0.015827858
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,KDD21,0.859863118,0.999603922,0.228863154,0.185834994,0.152638943,0.961162895,0.01019263,0.999603922,0.016778995,0.064708589,0.024949045,0.775707898
03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@8.out,GHL,0.008200403,0.5003625,0.286576351,0.000909637,0.503262386,0.289810171,0.014107494,0.29325491,0.019391186,0.0003625,0.0003625,0.008338655
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,KDD21,0.223670936,0.282686995,0.397318502,0.547438204,0.005790253,0.146542599,0.176209199,0.091766815,0.338607597,0.099934775,0.025533462,0.004766657
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,KDD21,0.001289921,0.01451547,0.01164274,0.003239187,0.0007532,0.00087872,0.0007389,0.000919854,0.005818346,0.001088664,0.000887781,0.000986193
